Title,Price
WONDER WOMAN TP VOL 04 GODWATCH (REBIRTH) *Special Discount*,Not Available
WONDER WOMAN TP VOL 03 THE TRUTH (REBIRTH),$9.85
WONDER WOMAN THE TRUE AMAZON TP *Special Discount*,Not Available
WATCHMEN TP NEW ED,$11.59
VERY DC UNIVERSE REBIRTH HOLIDAY TP,$8.49
SUPERMAN TP VOL 04 BLACK DAWN (REBIRTH) *Special Discount*,Not Available
SUPERMAN REBORN HC (REBIRTH),$14.49
SUPERMAN ACTION COMICS TP VOL 04 THE NEW WORLD (REBIRTH),$11.59
SUPER SONS TP VOL 01 WHEN I GROW UP (REBIRTH),$7.53
RED HOOD & THE OUTLAWS TP VOL 02 WHO IS ARTEMIS (REBIRTH),$8.69
RED HOOD & THE OUTLAWS TP VOL 01 DARK TRINITY (REBIRTH),$9.85
NEW SUPER MAN TP VOL 02 COMING TO AMERICA (REBIRTH),$9.85
JUSTICE TP,$17.39
JUSTICE LEAGUE VS SUICIDE SQUAD TP (REBIRTH) *Special Discount*,Not Available
GREEN LANTERNS TP VOL 04 THE FIRST RINGS (REBIRTH) *Special Discount*,Not Available
GREEN ARROW TP VOL 04 THE RISE OF STAR CITY (REBIRTH) *Special Discount*,Not Available
GRAYSON TP VOL 05 SPYRALS END,$9.85
GRAYSON TP VOL 04 A GHOST IN THE TOMB,$9.85
GRAYSON TP VOL 03 NEMESIS,$9.85
GRAYSON TP VOL 02 WE ALL DIE AT DAWN,$8.69
GRAYSON TP VOL 01 AGENTS OF SPYRAL TP,$8.69
GOTHAM ACADEMY SECOND SEMESTER TP VOL 01,$9.85
DC UNIVERSE REBIRTH DELUXE EDITION HC,$10.43
BATMAN YEAR ONE DELUXE TP,$8.69
BATMAN TP VOL 04 THE WAR OF JOKES & RIDDLES (REBIRTH) *Special Discount*,Not Available
BATMAN FLASH THE BUTTON DELUXE ED HC (REBIRTH),$11.59
BATMAN DETECTIVE TP VOL 04 DEUS EX MACHINA (REBIRTH) *Special Discount*,Not Available
BATMAN DETECTIVE TP VOL 03 LEAGUE (REBIRTH),$11.59
BATMAN DETECTIVE TP VOL 02 VICTIM SYNDICATE (REBIRTH),$9.85
BATMAN & ROBIN BY TOMASI & GLEASON OMNIBUS HC *Special Discount*,Not Available
Price USD,218.24999999999997
Price CAD,277.66
Count,30
